timestamp_utc,raw_value,index_value
2026-02-17T17:30:19.981296+00:00,474121306008.5799,1000.0
2026-02-25T15:53:52.496883+00:00,476313945464.38,1004.6246381000232
2026-02-25T17:02:29.520352+00:00,481693800653.22,1015.9716396387868
2026-02-25T18:34:41.994245+00:00,489019889817.22,1031.4235694954623
2026-02-25T19:47:05.019810+00:00,486096204132.08,1025.2570343744126
2026-02-25T20:29:22.992921+00:00,485864690473.5,1024.768733900154
2026-02-25T21:03:02.372683+00:00,487998005575.7401,1029.2682471580576
2026-02-25T21:55:34.716079+00:00,488358082428.68005,1030.0277086046888
2026-02-25T22:26:47.013556+00:00,487567937943.34,1028.3611636185713
2026-02-25T23:00:35.721612+00:00,482808729932.42,1018.3232093005388
2026-02-25T23:51:27.547409+00:00,478180137069.44006,1008.5607438632736
2026-02-26T01:25:51.436161+00:00,483282705619.98,1019.3229021672236
2026-02-26T03:55:40.274133+00:00,482004554383.42,1016.6270704879428
2026-02-26T05:18:12.575684+00:00,482384720724.64,1017.4289039773938
2026-02-26T06:33:13.146842+00:00,482305223810.94,1017.2612318802056
2026-02-26T07:47:18.721977+00:00,480307052897.12,1013.0467599961182
2026-02-26T08:38:30.050798+00:00,479982604365.24,1012.362444552437
2026-02-26T09:42:10.958366+00:00,483387155668.37994,1019.5432045393724
